ID;Input;Notional_1_CRV_EUR;Notional_2_CRV_EUR;Workflow;Match_status;Labels;snapshot_uid;part;snapshot_date;process_code;run_id;recon_date
1416396895;MARKIT;81727460.43;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1416396895;BBVA;81727460.43;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
383878651;MARKIT;7100000;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
383878651;BBVA;7100000;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
899556245;MARKIT;9755140.829;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
899556245;BBVA;9755140.829;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1189192331;MARKIT;12169415.07;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1189192331;BBVA;12169415.07;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
810322279;MARKIT;17205781.14;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
810322279;BBVA;17205781.14;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1416396955;MARKIT;81727460.43;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1416396955;BBVA;81727460.43;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1415706544;MARKIT;96498788.95;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1415706544;BBVA;96498788.95;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1415706545;MARKIT;47461400.96;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1415706545;BBVA;47461400.96;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1418282590;MARKIT;9885241.795;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
1418282590;BBVA;9885241.795;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
284138965;MARKIT;100000000;0;;Match;;9e2db6dd-394e-40e4-a2f1-ffac9d93bc36;0;2026-01-16T22:03:29Z;38MKSTMU;735;2026-01-16T06:38:06Z
